CODEX_ID,X_centroid,Y_centroid,Sample,leiden_R,phenotype
CODEX_9027-1,5866.138376,3317.267528,D10_batch_2_Sample,"1-2-3,2",Tumor cells
CODEX_9028-1,6412.519512,3316.470732,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_9029-1,6710.744898,3312.989796,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9030-1,1437.5,3318.545455,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_9031-1,3367.252475,3318.123762,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9032-1,4640.951613,3318.048387,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9033-1,4883.490291,3319.101942,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9034-1,1306.493333,3320.533333,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9035-1,1768.149635,3320.032847,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_9036-1,2747.295455,3318.163636,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9037-1,3611.911765,3319.058824,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9038-1,4133.886243,3319.738095,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_9039-1,4170.270492,3321.368852,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9040-1,5349.684466,3320.843042,D10_batch_2_Sample,6,Non-immune cells
CODEX_9041-1,6635.092593,3319.3,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9042-1,1864.462382,3325.402821,D10_batch_2_Sample,"1-2-3,2",CD11b+ myeloid cells
CODEX_9043-1,2479.693059,3322.291757,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_9044-1,4090.305825,3321.063107,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_9045-1,4260.588496,3321.137168,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9046-1,6028.069024,3322.183502,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_9047-1,6250.763736,3322.82967,D10_batch_2_Sample,5,CD11b+Ly6C+ myeloid cells
CODEX_9048-1,949.8809524,3324.014286,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9049-1,3493.045455,3323.328283,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9050-1,3911.125,3322.875,D10_batch_2_Sample,"1-2-3,1",T cells
CODEX_9051-1,1924.814607,3326.724719,D10_batch_2_Sample,5,CD11b+ myeloid cells
CODEX_9052-1,2418.8125,3326.375,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9053-1,3044.516667,3326.816667,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9054-1,6267.978261,3324.608696,D10_batch_2_Sample,5,Other Immune cells	
CODEX_9055-1,799.6748879,3328.257848,D10_batch_2_Sample,"1-2-3,2",Tumor cells
CODEX_9056-1,1999.346154,3331.0,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9057-1,3168.835135,3329.894595,D10_batch_2_Sample,"1-2-3,2",Tumor cells
CODEX_9058-1,3451.669591,3328.44152,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_9059-1,4469.320513,3329.5,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9060-1,5597.251269,3327.038071,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_9061-1,5778.262821,3326.75641,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_9062-1,2172.613208,3330.990566,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9063-1,6380.942105,3331.721053,D10_batch_2_Sample,5,T cells
CODEX_9064-1,6584.461905,3330.119048,D10_batch_2_Sample,5,Hepatocyte
CODEX_9065-1,2641.740506,3333.550633,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9066-1,3064.593023,3330.050388,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9067-1,4354.743902,3330.51626,D10_batch_2_Sample,6,Non-immune cells
CODEX_9068-1,646.907767,3335.723301,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_9069-1,719.8517241,3334.251724,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9070-1,4064.313665,3334.102484,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9071-1,4186.431034,3334.33908,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9072-1,5471.232673,3335.133663,D10_batch_2_Sample,5,T cells
CODEX_9073-1,593.8389121,3336.575314,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9074-1,3220.949704,3337.813609,D10_batch_2_Sample,"1-2-3,2",Endomucin
CODEX_9075-1,3878.222222,3337.277778,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9076-1,6095.833333,3337.089744,D10_batch_2_Sample,5,Hepatocyte
CODEX_9077-1,6446.894161,3338.864964,D10_batch_2_Sample,"1-2-3,2",Tumor cells
CODEX_9078-1,49.01889169,3333.754408,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
