CODEX_ID,PD1,pH2AX,CD8A,CD3,CD4,CD11B,MHCII,LY6C,PDL1,KI67,CD44,CD19,CD45,CD24,SCAI,F4.80,ATPase,ENDOMUCIN
CODEX_11,403.1203704,676.3148148,48.33796296,10.71296296,10.19907407,74.58796296,66.81481481,58.50925926,52.12037037,259.5416667,40.94444444,45.83796296,318.6944444,118.7916667,47.48148148,88.125,251.7453704,210.9398148
CODEX_12,183.7211538,101.7115385,4.341346154,7.644230769,10.14423077,17.13461538,59.87980769,5,34.70673077,79.79807692,64.11538462,12.02403846,251.8221154,67.04807692,574.3269231,256.5288462,587.2740385,535.5144231
CODEX_13,352.9416667,155.7166667,6.833333333,88.35,97.43333333,15.33333333,84.4,10.74166667,25.43333333,99.075,68.13333333,55.29166667,800.925,79.55,38.5,376.3833333,566.5083333,410.0583333
CODEX_14,264.9375,170.1541667,73.67083333,79.93333333,69.275,66.29583333,179.6791667,42.225,70.88333333,128.6833333,76.71666667,113.6125,254.225,224.7083333,55.94583333,98.51666667,714.0083333,747.7166667
CODEX_15,258.3246269,222.9253731,103.3097015,35.59701493,42.04104478,39.60820896,69.67910448,44.69776119,44.14925373,96.36567164,45.98880597,69.86567164,140.2164179,72.18283582,53.20895522,71.44402985,396.5149254,207.9589552
CODEX_16,431.0878378,952.7094595,121.1621622,37.05405405,32.31756757,133.652027,69.7027027,101.2364865,41.16554054,166.9763514,37.25,96.34459459,194.8716216,83.91554054,35.22297297,54.47297297,143.6790541,78.38175676
CODEX_17,221.1014493,487.5181159,37.11594203,36.1557971,42.07246377,67.52898551,88.20652174,46.5615942,46.82608696,125.7065217,74.94202899,102.7681159,267.8985507,102.9927536,135.365942,48.98913043,495.8043478,150.6884058
CODEX_18,354.0863095,455.4375,77.5952381,37.41369048,71.24702381,149.014881,71.92261905,90.81547619,58.16071429,190.9494048,49.36607143,99.48511905,271.6279762,101.5654762,133.514881,49.55059524,806.0595238,255.5208333
CODEX_19,349.3387097,192.9314516,49.81451613,44.48387097,115.7862903,53.78225806,164.6854839,145.7379032,38.29032258,125.2741935,59.0766129,87.68548387,539.0645161,75.27419355,66.36290323,366.5080645,696.9435484,200.141129
CODEX_20,299.5286885,352.0266393,20.36885246,16.48360656,32.50204918,18.62090164,61.01639344,29.96106557,32.48565574,127.4446721,27.32377049,19.5942623,151.3790984,66.58401639,41.13319672,55.0102459,344.3954918,213.897541
CODEX_21,203.8197674,185.0348837,42.58139535,16.40116279,48.18023256,38.74418605,65.43023256,39.12790698,22.30232558,135.8546512,27.53488372,55.33139535,124.1918605,77.71511628,39.36046512,67.30813953,242.9069767,110.9709302
CODEX_22,340.24375,319.4625,17.56875,17.73125,26.91875,8.7375,38.36875,19.70625,28.7625,112.1,21.34375,15.95,155.66875,65.70625,39.78125,34.03125,477.06875,302.5
CODEX_23,216.9392857,376.5125,3.158928571,2.923214286,4.625,2.941071429,53.57321429,3.821428571,23.47857143,97.00892857,33.67142857,7.351785714,129.1232143,64.44107143,40.9125,35.71964286,453.9160714,284.4339286
CODEX_24,224.6847015,241.1436567,17.24813433,41.31156716,14.88619403,15.52798507,55.67723881,27.60634328,19.90485075,110.733209,31.74253731,20.64179104,120.5988806,71.5261194,28.19776119,70.8619403,248.6735075,156.6958955
CODEX_25,219.35,209.8558824,10.17058824,33.04411765,12.92647059,24.78529412,60.90882353,19.54117647,16.84411765,102.75,53.00882353,11.82058824,253.9588235,72.39411765,38.15882353,345.15,451.6088235,219.1176471
CODEX_26,481.985,894.9875,41.2775,38.0375,27.7875,116.0875,70.02,43.2225,47.72,196.965,38.3575,53.995,231.6825,85.0975,78.795,110.695,193.7875,145.5875
CODEX_27,284.740566,222.1886792,14.88207547,40.89150943,24.31132075,34.41509434,60.56603774,34.40566038,26.78301887,117.4669811,35.78773585,20.75943396,100.4386792,80.66981132,90.77830189,74.52358491,298.0849057,107.1981132
CODEX_28,313.0375,253.8625,19.50625,37.95625,18.65625,35.1125,71.79375,29.7625,27.14375,113.86875,54.675,18.8875,210.9125,75.79375,101.76875,226.01875,468.7375,165.64375
CODEX_29,265.0185185,644.8271605,21.14197531,22.00617284,16.33950617,47.48148148,67.58333333,35.89814815,38.89197531,160.441358,41.72222222,39.26851852,181.2407407,90.75925926,43.58024691,123.1697531,300.9938272,196.2592593
CODEX_30,211.3558824,151.9294118,5.808823529,56.58823529,37.15,24.50882353,104.4970588,8.264705882,45.67058824,112.0470588,75.6,20.48823529,720.8970588,80.27941176,40.12058824,757.6147059,588.8882353,416.2205882
CODEX_31,253.1933333,163.36,61.81333333,45.63333333,29.31333333,50.86,54.39,23.78333333,44.34333333,130.0233333,33.26333333,42.38666667,131.1266667,82.52,99.91,69.35,617.4733333,1344.966667
