CODEX_ID,PD1,pH2AX,CD8A,CD3,CD4,CD11B,MHCII,LY6C,PDL1,KI67,CD44,CD19,CD45,CD24,SCAI,F4.80,ATPase,ENDOMUCIN
CODEX_5055,374.240625,1288.247917,77.153125,0,0,53.540625,95.23229167,0,123.0114583,250.65625,71.5,2.233333333,322.840625,101.671875,37.303125,1.457291667,166.8125,76.51770833
CODEX_5056,265.0055147,766.3125,0,0,0,0.659926471,106.9632353,0,116.5422794,354.1029412,58.22977941,0,378.1783088,90.88419118,38.61213235,0,233.4227941,78.91727941
CODEX_5057,308.3218029,670.6425577,0.014675052,0,0,0.254716981,89.21960168,0,108.827044,94.90775681,53.23584906,0,199.7127883,92.92348008,37.22431866,0,345.7709644,890.4884696
CODEX_5058,147.8647541,217.8155738,0,0,0,0,108.0778689,0,89.64754098,104.9918033,81.4795082,0,173.6885246,315.1639344,103.6352459,0,561.1065574,389.0040984
CODEX_5059,189.1715686,315.9877451,0,0,0,0,105.0882353,0,140.622549,287.995098,58.99754902,0,441.9411765,105.7254902,38.77696078,0,507.004902,430.2965686
CODEX_5060,191.8450413,161.4152893,9.477272727,0,0,0.508264463,121.2933884,0,179.6983471,60.09090909,77.20867769,0,480.9752066,83.16115702,22.79958678,25.70454545,495.6280992,410.3822314
CODEX_5061,147.3431373,155.1846405,4.85620915,0,0,0,415.0866013,0.578431373,111.9428105,72.50490196,82.85130719,0,333.4215686,72.35457516,36.75816993,29.06699346,438.3022876,200.9313725
CODEX_5062,173.2913793,320.9793103,0,0,0,0,118.112069,0,145.8189655,36.9137931,78.81724138,0,300.55,87.07931034,149.8362069,0,528.9862069,398.8810345
CODEX_5063,103.3820423,218.6725352,0,0,0,0,84.22975352,0,173.7244718,44.3221831,56.33890845,0,109.3142606,97.78080986,278.4850352,0,750.6646127,7407.710387
CODEX_5064,368.2931373,988.4862745,2.021568627,0,0,8.218627451,100.0313725,0,116.254902,241.0029412,60.46372549,0,396.25,104.7754902,34.07352941,0,102.0617647,53.48529412
