CODEX_ID,DAPI-01,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample
CODEX_14006,26278.2038,5427.434783,3795.217391,368,24.23970571,19.57714597,0.58966513,0.917705736,0.766666667,-0.376548639,D0_batch_2_Sample
CODEX_14007,23451.73113,6068.198113,3794.613208,424,23.57237791,23.07903894,0.20351749,0.93598234,0.803030303,0.023768008,D0_batch_2_Sample
CODEX_14008,15039.48741,49.53597122,3796.78777,556,29.05985558,24.60725985,0.531945706,0.909983633,0.709183673,-0.721234776,D0_batch_2_Sample
CODEX_14009,26385.55732,346.6656051,3797.213376,628,29.77387505,27.00445919,0.421162844,0.93452381,0.747619048,0.82159189,D0_batch_2_Sample
CODEX_14010,24127.15203,687.0743243,3797.209459,1184,40.23781951,37.647267,0.35301155,0.95024077,0.778947368,-0.001234539,D0_batch_2_Sample
CODEX_14011,21092.63793,2549.62069,3793.172414,464,25.51187809,23.33905007,0.403837511,0.943089431,0.805555556,-0.967945955,D0_batch_2_Sample
CODEX_14012,28008.56855,2644.967742,3795.870968,496,29.65706819,21.48475326,0.689338329,0.935849057,0.751515152,1.412412164,D0_batch_2_Sample
CODEX_14013,18800.1679,2712.381919,3798.278598,1084,45.68010309,31.17708814,0.730877052,0.904841402,0.716931217,0.400702043,D0_batch_2_Sample
CODEX_14014,26937.7521,3094.852941,3794.953782,476,27.29234782,22.34093327,0.574394456,0.935166994,0.762820513,-1.192715548,D0_batch_2_Sample
CODEX_14015,12627.79974,4133.838501,3796.520672,1548,49.89582573,39.77349304,0.603806835,0.961490683,0.764822134,-0.853725995,D0_batch_2_Sample
CODEX_14016,30395.80655,4897.119048,3797.47619,336,21.63535273,19.92508514,0.389679994,0.933333333,0.763636364,-1.100410822,D0_batch_2_Sample
CODEX_14017,36406.23023,879.1976744,3797.188372,860,36.10888659,30.76750043,0.52341877,0.944017563,0.746527778,-0.011512539,D0_batch_2_Sample
CODEX_14018,26921.94091,1035.445455,3803.245455,440,32.50330931,18.1322326,0.829936384,0.881763527,0.564102564,0.644291931,D0_batch_2_Sample
CODEX_14019,16630.13514,1446.86036,3797.382883,444,24.87215859,22.88980943,0.391216987,0.928870293,0.770833333,-0.588614526,D0_batch_2_Sample
CODEX_14020,25205.75568,2204.924242,3799.833333,528,35.83582407,20.90345453,0.812248417,0.868421053,0.705882353,1.227150692,D0_batch_2_Sample
CODEX_14021,37492.27778,3686.081699,3798.957516,612,31.47635317,24.87206981,0.612871354,0.957746479,0.784615385,0.440841562,D0_batch_2_Sample
CODEX_14022,25330.16468,3827.65873,3799.706349,504,25.73093144,25.20915369,0.200362804,0.947368421,0.74556213,0.328226955,D0_batch_2_Sample
CODEX_14023,16584.94549,4638.996241,3797.37218,532,29.74652872,22.97880011,0.635030849,0.960288809,0.791666667,0.511740144,D0_batch_2_Sample
CODEX_14024,13449.45438,5833.075,3800.24,1600,46.535669,44.75421668,0.274039062,0.959232614,0.756143667,0.067052519,D0_batch_2_Sample
CODEX_14025,4044.545082,5980.336066,3797.188525,244,19.12946756,16.36317021,0.517983214,0.960629921,0.847222222,1.266882824,D0_batch_2_Sample
CODEX_14026,20309.47535,6175.795775,3798.753521,284,19.99072054,18.25251408,0.40784913,0.931147541,0.788888889,1.472960034,D0_batch_2_Sample
CODEX_14027,22929.42456,421.6242604,3798.926036,676,34.85034189,25.47642208,0.682352189,0.918478261,0.662745098,-0.769077464,D0_batch_2_Sample
CODEX_14028,25084.5994,627.6204819,3800.36747,664,30.00684332,28.28071716,0.334274999,0.94721826,0.79047619,-0.395816798,D0_batch_2_Sample
CODEX_14029,25780.20619,2488.78866,3800.149485,388,23.23781544,21.39379946,0.390398682,0.950980392,0.801652893,-1.054587391,D0_batch_2_Sample
CODEX_14030,22554.01042,2794.958333,3800.152778,576,29.09808826,25.34232346,0.491411638,0.952066116,0.791208791,-0.587671673,D0_batch_2_Sample
CODEX_14031,13609.68077,3219.782051,3802.335897,780,42.62604643,24.08752275,0.825029747,0.926365796,0.677083333,-0.875337451,D0_batch_2_Sample
CODEX_14032,20645.87801,3557.813253,3799.210843,664,35.48587707,24.22413177,0.73075345,0.944523471,0.751131222,0.35941305,D0_batch_2_Sample
CODEX_14033,17934.47727,5751.69697,3802.515152,528,33.28696199,20.77197505,0.781402491,0.899488927,0.628571429,0.879375838,D0_batch_2_Sample
CODEX_14034,10868.11364,6632.681818,3802.318182,88,11.18588248,10.14441181,0.421358437,0.967032967,0.88,-0.785398163,D0_batch_2_Sample
CODEX_14035,16167.775,1359.75,3802.5,160,15.62049935,13.37908816,0.516133164,0.987654321,0.952380952,0,D0_batch_2_Sample
CODEX_14036,33625.77355,2098.152174,3804.818841,552,30.54971889,23.26579736,0.648080816,0.937181664,0.766666667,-1.234681771,D0_batch_2_Sample
CODEX_14037,20057.17797,2233.245763,3801.855932,236,19.93407249,15.43862771,0.632593037,0.900763359,0.7375,-1.353090433,D0_batch_2_Sample
CODEX_14038,29142.97598,3356.866812,3806.508734,916,45.25609613,26.17513776,0.815768779,0.929949239,0.726984127,0.364914252,D0_batch_2_Sample
CODEX_14039,33129.19512,3745.378049,3801.797561,820,37.09283851,28.26888947,0.647445459,0.939289805,0.759259259,1.292102636,D0_batch_2_Sample
CODEX_14040,32976.012,3782.044,3801.164,1000,41.79235338,30.60996385,0.680842588,0.942507069,0.744047619,0.142278207,D0_batch_2_Sample
CODEX_14041,21311.15351,3896.570175,3801.622807,228,18.07301237,16.21545134,0.441585712,0.930612245,0.791666667,-1.200848605,D0_batch_2_Sample
CODEX_14042,29533.9806,4410.87931,3801.603448,464,28.40569419,21.04236733,0.671747824,0.929859719,0.703030303,0.194037356,D0_batch_2_Sample
CODEX_14043,30480.9375,4671.5,3802.323529,272,19.52976612,17.93374967,0.395936833,0.925170068,0.755555556,1.570796327,D0_batch_2_Sample
CODEX_14044,21495.28636,4785.554545,3802.766667,660,33.31850273,25.31955515,0.650011047,0.956521739,0.785714286,0.646363302,D0_batch_2_Sample
CODEX_14045,25550.73491,6409.896552,3803.672414,464,25.1006711,23.71233811,0.327966344,0.939271255,0.805555556,0.910032272,D0_batch_2_Sample
CODEX_14046,14101.77795,6535.791925,3803.083851,644,30.4277768,27.1266382,0.453002897,0.929292929,0.71875,-0.127671016,D0_batch_2_Sample
CODEX_14047,24050.93636,1379.639394,3805.530303,660,30.77099808,27.48215018,0.449821296,0.942857143,0.785714286,1.12365012,D0_batch_2_Sample
